Day,Keypresses
2022-01-30,3654
2022-01-31,19622
2022-02-01,32163
2022-02-02,18906
2022-02-03,8715
2022-02-04,14949
2022-02-05,8075
2022-02-06,6414
2022-02-07,41850
2022-02-08,18543
2022-02-09,40606
2022-02-10,16899
2022-02-13,9571
2022-02-14,12485
2022-02-15,28291
2022-02-16,34208
2022-02-17,17688
2022-02-18,16891
2022-02-19,1264
2022-02-21,29610
2022-02-22,38647
2022-02-23,26538
2022-02-24,5637
2022-02-25,22079
2022-02-27,5958
2022-02-28,31923
2022-03-01,39642
2022-03-02,25990
2022-03-03,23558
2022-03-04,1633
2022-03-05,317
2022-03-06,10470
2022-03-07,35513
2022-03-08,9169
2022-03-09,8712
2022-03-10,8227
2022-03-11,149
2022-03-12,439
2022-03-13,149
2022-03-14,28
2022-03-15,501
2022-03-16,588
2022-03-17,3243
2022-03-18,602
2022-03-19,15496
2022-03-20,3742
2022-03-21,17507
2022-03-22,30165
2022-03-23,60708
2022-03-24,18577
2022-03-25,18102
2022-03-26,34319
2022-03-27,20228
2022-03-28,45768
2022-03-29,39656
2022-03-30,30980
2022-03-31,48381
2022-04-01,37320
2022-04-02,18316
2022-04-03,15866
2022-04-04,47193
2022-04-05,37989
2022-04-06,14892
2022-04-07,35328
2022-04-08,18277
2022-04-09,7538
2022-04-10,21223
2022-04-11,38762
2022-04-12,54136
2022-04-13,27949
2022-04-14,43159
2022-04-15,18929
2022-04-16,12806
2022-04-17,6992
2022-04-18,24739
2022-04-19,36764
2022-04-20,42571
2022-04-21,16420
2022-04-22,30101
2022-04-24,9738
2022-04-25,61200
2022-04-26,62596
2022-04-27,25653
2022-04-28,29728
2022-04-29,21314
2022-04-30,16751
2022-05-01,7976
2022-05-02,39248
2022-05-03,72910
2022-05-04,25501
2022-05-05,7581
2022-05-07,943
2022-05-09,19892
2022-05-10,26799
2022-05-11,16872
2022-05-12,17690
2022-05-13,46422
2022-05-14,41497
2022-05-15,7371
2022-05-16,34980
2022-05-17,9313
2022-05-18,565
2022-05-19,525
2022-05-20,1525
2022-05-21,4008
2022-05-22,8555
2022-05-23,20302
2022-05-24,26662
2022-05-25,26995
2022-05-26,62030
2022-05-27,34996
2022-05-28,13718
2022-05-29,9122
2022-05-30,23474
2022-05-31,19791
2022-06-01,12933
2022-06-02,27148
2022-06-03,23824
2022-06-04,6201
2022-06-05,15523
2022-06-06,14188
2022-06-07,41878
2022-06-08,9870
2022-06-09,26164
2022-06-10,4554
2022-06-11,105
2022-06-13,5355
2022-06-14,1034
2022-06-15,6318
2022-06-16,38757
2022-06-17,17988
2022-06-18,810
2022-06-21,15278
2022-06-22,16831
2022-06-23,10726
2022-06-24,3222
2022-06-27,29526
2022-06-28,26550
2022-06-29,31804
2022-06-30,26138
2022-07-01,21543
2022-07-04,5489
2022-07-05,34136
2022-07-06,37760
2022-07-07,31444
2022-07-08,21181
2022-07-09,27697
2022-07-10,13335
2022-07-11,34388
2022-07-12,40769
2022-07-13,24224
2022-07-14,34589
2022-07-15,25084
2022-07-16,37725
2022-07-18,46828
2022-07-19,38377
2022-07-20,31813
2022-07-21,38935
2022-07-22,27906
2022-07-23,26750
2022-07-24,4265
2022-07-25,26928
2022-07-26,46490
2022-07-27,23997
2022-07-28,24078
2022-07-29,32184
2022-07-30,844
2022-08-01,24237
2022-08-02,42692
2022-08-03,26326
2022-08-04,34408
2022-08-05,47261
2022-08-06,2
2022-08-07,1330
2022-08-08,16260
2022-08-09,26905
2022-08-10,24666
2022-08-11,24466
2022-08-12,18769
2022-08-13,1148
2022-08-14,6841
2022-08-15,12865
2022-08-16,18104
2022-08-17,6469
2022-08-18,31929
2022-08-19,32939
2022-08-20,9252
2022-08-21,71
2022-08-22,63149
2022-08-23,30566
2022-08-24,22879
2022-08-25,44555
2022-08-26,48859
2022-08-27,8676
2022-08-29,22868
2022-08-30,32002
2022-08-31,11142
2022-09-01,23291
2022-09-02,1457
2022-09-05,1312
2022-09-07,16172
2022-09-08,23406
2022-09-09,10588
2022-09-10,1727
2022-09-11,155
2022-09-12,6809
2022-09-13,16427
2022-09-14,27546
2022-09-15,19789
2022-09-16,12358
2022-09-17,1792
2022-09-19,26197
2022-09-20,6146
2022-09-21,3589
2022-09-22,957
2022-09-23,12256
2022-09-24,10698
2022-09-25,23495
2022-09-26,20895
2022-09-27,33433
2022-09-28,29908
2022-09-29,163
2022-10-02,10006
2022-10-03,30750
2022-10-04,34729
2022-10-05,32252
2022-10-06,11684
2022-10-07,35830
2022-10-08,2624
2022-10-09,7557
2022-10-10,27196
2022-10-11,38852
2022-10-12,25889
2022-10-13,57914
2022-10-14,10001
2022-10-15,1544
2022-10-17,12127
2022-10-18,31145
2022-10-19,27083
2022-10-20,21121
2022-10-21,34606
2022-10-22,16922
2022-10-23,12601
2022-10-24,31296
2022-10-25,36769
2022-10-26,26905
2022-10-27,43233
2022-10-28,28086
2022-10-29,20939
2022-10-30,4952
2022-10-31,31468
2022-11-01,38035
2022-11-02,24665
2022-11-03,41168
2022-11-04,32066
2022-11-05,14284
2022-11-06,5620
2022-11-07,35930
2022-11-08,36791
2022-11-09,53965
2022-11-10,41626
2022-11-11,2417
2022-11-13,23870
2022-11-14,36842
2022-11-15,13763
2022-11-16,31471
2022-11-17,26435
2022-11-18,25977
2022-11-19,13298
2022-11-20,11312
2022-11-21,15662
2022-11-22,38472
2022-11-23,15598
2022-11-24,51
2022-11-25,7401
2022-11-26,49127
2022-11-27,20413
2022-11-28,34935
2022-11-29,20613
2022-11-30,44702
2022-12-01,34026
2022-12-02,28416
2022-12-03,2852
2022-12-04,22045
2022-12-05,90447
2022-12-06,45684
2022-12-07,44317
2022-12-08,44502
2022-12-09,36484
2022-12-10,28806
2022-12-11,13153
2022-12-12,28954
2022-12-13,26729
2022-12-14,30570
2022-12-15,41830
2022-12-16,53821
2022-12-17,17969
2022-12-18,2131
2022-12-19,12590
2022-12-20,7616
2022-12-21,24982
2022-12-22,26403
2022-12-23,2124
2022-12-24,22296
2022-12-25,427
2022-12-26,7
2022-12-27,3902
2022-12-28,5008
2022-12-29,4914
2022-12-31,17246
2023-01-01,23438
2023-01-02,22142
2023-01-03,38752
2023-01-04,6909
2023-01-05,27454
2023-01-06,17174
2023-01-07,3142
2023-01-08,13239
2023-01-09,19919
2023-01-10,25084
2023-01-11,39308
2023-01-12,37873
2023-01-13,39425
2023-01-14,3929
2023-01-15,0
2023-01-16,6299
2023-01-17,28232
2023-01-18,42353
2023-01-19,25875
2023-01-20,12953
2023-01-21,7106
2023-01-22,6862
2023-01-23,24676
2023-01-24,34262
2023-01-25,32239
2023-01-26,31122
2023-01-27,2213
2023-01-28,6986
2023-01-29,7053
2023-01-30,39535
2023-01-31,26601
2023-02-01,39624
2023-02-02,5863
2023-02-03,12352
2023-02-04,7512
2023-02-05,818
2023-02-06,15046
2023-02-07,30191
2023-02-08,27584
2023-02-09,34466
2023-02-10,29546
2023-02-11,944
2023-02-12,3293
2023-02-13,18269
2023-02-14,13874
2023-02-15,15711
2023-02-16,40557
