,Day,Hour,Keypresses,keypresses_over_last_24_hours
231,2020-09-30,15,4556,40868.0
232,2020-09-30,16,2004,39069.0
233,2020-09-30,17,730,38667.0
234,2020-09-30,18,0,38667.0
235,2020-09-30,19,0,37629.0
236,2020-09-30,20,222,33116.0
237,2020-09-30,21,6097,36719.0
238,2020-09-30,22,5082,39184.0
239,2020-09-30,23,1952,41136.0
240,2020-10-01,0,517,41653.0
241,2020-10-01,1,0,41653.0
242,2020-10-01,2,0,41653.0
243,2020-10-01,3,0,41653.0
244,2020-10-01,4,0,41653.0
245,2020-10-01,5,0,41653.0
246,2020-10-01,6,0,41653.0
247,2020-10-01,7,0,41653.0
248,2020-10-01,8,77,41730.0
249,2020-10-01,9,2854,44123.0
250,2020-10-01,10,741,41062.0
251,2020-10-01,11,1500,42465.0
252,2020-10-01,12,10716,48142.0
253,2020-10-01,13,1801,43658.0
254,2020-10-01,14,6685,45534.0
255,2020-10-01,15,6399,47377.0
256,2020-10-01,16,9360,54733.0
257,2020-10-01,17,2153,56156.0
258,2020-10-01,18,3276,59432.0
259,2020-10-01,19,2937,62369.0
260,2020-10-01,20,5195,67342.0
261,2020-10-01,21,3856,65101.0
262,2020-10-01,22,2244,62263.0
263,2020-10-01,23,4562,64873.0
264,2020-10-02,0,1292,65648.0
265,2020-10-02,1,0,65648.0
266,2020-10-02,2,0,65648.0
267,2020-10-02,3,0,65648.0
268,2020-10-02,4,0,65648.0
269,2020-10-02,5,0,65648.0
270,2020-10-02,6,0,65648.0
271,2020-10-02,7,0,65648.0
272,2020-10-02,8,0,65571.0
273,2020-10-02,9,0,62717.0
274,2020-10-02,10,2694,64670.0
275,2020-10-02,11,307,63477.0
276,2020-10-02,12,2382,55143.0
277,2020-10-02,13,3885,57227.0
278,2020-10-02,14,2377,52919.0
279,2020-10-02,15,1287,47807.0
280,2020-10-02,16,863,39310.0
281,2020-10-02,17,2949,40106.0
282,2020-10-02,18,143,36973.0
283,2020-10-02,19,0,34036.0
284,2020-10-02,20,0,28841.0
285,2020-10-02,21,110,25095.0
286,2020-10-02,22,1795,24646.0
287,2020-10-02,23,2997,23081.0
288,2020-10-03,0,68,21857.0
289,2020-10-03,1,0,21857.0
290,2020-10-03,2,0,21857.0
291,2020-10-03,3,0,21857.0
292,2020-10-03,4,0,21857.0
293,2020-10-03,5,0,21857.0
294,2020-10-03,6,0,21857.0
295,2020-10-03,7,0,21857.0
296,2020-10-03,8,0,21857.0
297,2020-10-03,9,0,21857.0
298,2020-10-03,10,7452,26615.0
299,2020-10-03,11,8742,35050.0
300,2020-10-03,12,2344,35012.0
301,2020-10-03,13,4880,36007.0
302,2020-10-03,14,6346,39976.0
303,2020-10-03,15,2733,41422.0
304,2020-10-03,16,4549,45108.0
305,2020-10-03,17,332,42491.0
306,2020-10-03,18,934,43282.0
307,2020-10-03,19,1713,44995.0
308,2020-10-03,20,3712,48707.0
309,2020-10-03,21,3906,52503.0
310,2020-10-03,22,5682,56390.0
311,2020-10-03,23,64,53457.0
312,2020-10-04,0,280,53669.0
313,2020-10-04,1,0,53669.0
314,2020-10-04,2,0,53669.0
315,2020-10-04,3,0,53669.0
316,2020-10-04,4,0,53669.0
317,2020-10-04,5,0,53669.0
318,2020-10-04,6,0,53669.0
319,2020-10-04,7,0,53669.0
320,2020-10-04,8,0,53669.0
321,2020-10-04,9,387,54056.0
322,2020-10-04,10,156,46760.0
323,2020-10-04,11,0,38018.0
324,2020-10-04,12,0,35674.0
325,2020-10-04,13,0,30794.0
326,2020-10-04,14,0,24448.0
327,2020-10-04,15,798,22513.0
328,2020-10-04,16,2266,20230.0
329,2020-10-04,17,2620,22518.0
330,2020-10-04,18,3566,25150.0
331,2020-10-04,19,3804,27241.0
332,2020-10-04,20,715,24244.0
333,2020-10-04,21,3315,23653.0
334,2020-10-04,22,5253,23224.0
335,2020-10-04,23,2910,26070.0
336,2020-10-05,0,0,25790.0
337,2020-10-05,1,0,25790.0
338,2020-10-05,2,0,25790.0
339,2020-10-05,3,0,25790.0
340,2020-10-05,4,0,25790.0
341,2020-10-05,5,0,25790.0
342,2020-10-05,6,0,25790.0
343,2020-10-05,7,0,25790.0
344,2020-10-05,8,496,26286.0
345,2020-10-05,9,4726,30625.0
346,2020-10-05,10,2400,32869.0
