Date,steps,7_day_avg,30_day_avg,365_day_avg
2020-06-20,855,4150.285714285715,5691.7,
2020-06-21,1824,3960.8571428571427,5448.2,
2020-06-22,5096,3987.0,5462.433333333333,
2020-06-23,7013,4262.571428571428,5030.533333333334,
2020-06-24,5025,4119.571428571428,4727.366666666667,
2020-06-25,5488,4105.714285714285,4730.0,
2020-06-26,7423,4674.857142857143,4829.0,
2020-06-27,16329,6885.428571428572,5230.633333333333,
2020-06-28,10454,8118.285714285715,5344.533333333334,
2020-06-29,4847,8082.714285714285,5278.5,
2020-06-30,4617,7740.428571428572,5221.733333333334,
2020-07-01,4922,7725.714285714285,5239.533333333334,
2020-07-02,5768,7765.714285714285,5304.566666666667,
2020-07-03,1412,6907.0,5151.266666666666,
2020-07-04,3718,5105.428571428572,5144.366666666667,
2020-07-05,2832,4016.5714285714284,5062.633333333333,
2020-07-06,12393,5094.571428571428,5379.666666666667,
2020-07-07,12725,6252.857142857143,5584.766666666666,
2020-07-08,5953,6400.142857142857,5653.8,
2020-07-09,8529,6794.571428571428,5767.633333333333,
2020-07-10,6674,7546.285714285715,5844.933333333333,
2020-07-11,8511,8231.0,5963.966666666666,
2020-07-12,6522,8758.142857142857,6017.966666666666,
2020-07-13,7182,8013.714285714285,6143.633333333333,
2020-07-14,5840,7030.142857142857,6233.3,
2020-07-15,4896,6879.142857142857,6232.733333333334,
2020-07-16,6293,6559.714285714285,6273.033333333334,
2020-07-17,3168,6058.857142857143,6177.766666666666,
2020-07-18,2068,5138.428571428572,6060.533333333334,
2020-07-19,1888,4476.428571428572,6008.833333333333,
2020-07-20,2899,3864.5714285714284,6076.966666666666,
2020-07-21,6893,4015.0,6245.933333333333,
2020-07-22,6950,4308.428571428572,6307.733333333334,
2020-07-23,3885,3964.4285714285716,6203.466666666666,
2020-07-24,3141,3960.5714285714284,6140.666666666667,
2020-07-25,7069,4675.0,6193.366666666667,
2020-07-26,3276,4873.285714285715,6055.133333333333,
2020-07-27,6368,5368.857142857143,5723.1,
2020-07-28,6814,5357.571428571428,5601.766666666666,
2020-07-29,6102,5236.428571428572,5643.6,
2020-07-30,2663,5061.857142857143,5578.466666666666,
