,Date,keypresses,7_day_ma,28_day_ma,365_day_ma,percentile,rank,Weekday
283,2021-07-01,45709,27963.85714285714,20189.35714285714,,84.96815286624204,119.0,Thursday
284,2021-07-02,27532,26413.14285714286,19554.89285714286,,56.17834394904458,345.0,Friday
285,2021-07-03,19280,26381.0,20095.75,,38.98089171974522,480.0,Saturday
286,2021-07-04,1919,25807.85714285714,20125.571428571428,,12.48407643312102,688.0,Sunday
287,2021-07-05,14317,23691.285714285714,20277.64285714286,,30.955414012738853,543.0,Monday
288,2021-07-06,33628,23932.85714285714,20568.285714285714,,66.2420382165605,266.0,Tuesday
289,2021-07-07,28521,24415.14285714286,21216.535714285714,,58.089171974522294,330.0,Wednesday
290,2021-07-08,27854,21864.428571428572,21453.785714285714,,56.68789808917197,341.0,Thursday
291,2021-07-09,28341,21980.0,22132.714285714286,,57.8343949044586,332.0,Friday
292,2021-07-10,14439,21288.428571428572,22565.85714285714,,31.210191082802545,541.0,Saturday
293,2021-07-11,9498,22371.14285714286,22830.75,,24.45859872611465,594.0,Sunday
294,2021-07-12,35969,25464.285714285714,23437.5,,70.828025477707,230.0,Monday
295,2021-07-13,33876,25499.714285714286,23480.85714285714,,66.62420382165605,263.0,Tuesday
296,2021-07-14,16210,23741.0,22656.178571428572,,33.503184713375795,523.0,Wednesday
297,2021-07-15,35425,24822.571428571428,23017.428571428572,,69.42675159235668,241.0,Thursday
298,2021-07-16,30617,25147.714285714286,23716.071428571428,,61.401273885350314,304.0,Friday
299,2021-07-17,21668,26180.428571428572,24302.14285714286,,43.82165605095542,442.0,Saturday
300,2021-07-18,29008,28967.571428571428,25012.89285714286,,58.98089171974522,323.0,Sunday
301,2021-07-19,43823,30089.571428571428,25860.0,,83.05732484076434,134.0,Monday
302,2021-07-20,15070,27403.0,25376.928571428572,,31.97452229299363,535.0,Tuesday
303,2021-07-21,39804,30773.571428571428,25890.85714285714,,77.19745222929937,180.0,Wednesday
304,2021-07-22,44125,32016.428571428572,26666.821428571428,,83.31210191082803,132.0,Thursday
305,2021-07-23,25097,31227.85714285714,26192.178571428572,,50.19108280254777,392.0,Friday
306,2021-07-24,38692,33659.857142857145,26877.428571428572,,75.15923566878982,196.0,Saturday
307,2021-07-25,25075,33098.0,27561.14285714286,,49.93630573248408,394.0,Sunday
308,2021-07-26,31564,31346.714285714286,27647.964285714286,,63.18471337579618,290.0,Monday
309,2021-07-27,27861,33174.0,27502.39285714286,,56.81528662420382,340.0,Tuesday
310,2021-07-28,35862,32610.85714285714,27885.14285714286,,70.5732484076433,232.0,Wednesday
311,2021-07-29,48558,33244.142857142855,27986.89285714286,,88.40764331210191,92.0,Thursday
